frameMs,draws,vsB0,vsB1,vsB2,vsB3,psB0,psB1,psB2,psB3,vbLocks,vbDiscards,ibLocks,ibDiscards
0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
3223.49,14,14,0,0,0,0,1,0,0,13,0,0,0
7.60,14,14,0,0,0,0,0,0,0,13,0,0,0
7.58,14,14,0,0,0,0,0,0,0,13,0,0,0
6.43,14,14,0,0,0,0,0,0,0,13,0,0,0
13.98,14,14,0,0,0,0,0,0,0,13,0,0,0
9.92,14,14,0,0,0,0,0,0,0,13,0,0,0
7.20,14,14,0,0,0,0,0,0,0,13,0,0,0
7.66,14,14,0,0,0,0,0,0,0,13,0,0,0
7.22,14,14,0,0,0,0,0,0,0,13,0,0,0
7.24,14,14,0,0,0,0,0,0,0,13,0,0,0
7.51,14,14,0,0,0,0,0,0,0,13,0,0,0
6.79,14,14,0,0,0,0,0,0,0,13,0,0,0
7.44,14,14,0,0,0,0,0,0,0,13,0,0,0
6.83,14,14,0,0,0,0,0,0,0,13,0,0,0
7.48,14,14,0,0,0,0,0,0,0,13,0,0,0
7.13,14,14,0,0,0,0,0,0,0,13,0,0,0
7.73,14,14,0,0,0,0,0,0,0,13,0,0,0
7.09,14,14,0,0,0,0,0,0,0,13,0,0,0
7.52,14,14,0,0,0,0,0,0,0,13,0,0,0
6.92,14,14,0,0,0,0,0,0,0,13,0,0,0
7.46,14,14,0,0,0,0,0,0,0,13,0,0,0
7.11,14,14,0,0,0,0,0,0,0,13,0,0,0
7.48,14,14,0,0,0,0,0,0,0,13,0,0,0
6.80,14,14,0,0,0,0,0,0,0,13,0,0,0
6.85,14,14,0,0,0,0,0,0,0,13,0,0,0
8.04,14,14,0,0,0,0,0,0,0,13,0,0,0
6.55,14,14,0,0,0,0,0,0,0,13,0,0,0
8.14,14,14,0,0,0,0,0,0,0,13,0,0,0
6.68,14,14,0,0,0,0,0,0,0,13,0,0,0
7.32,14,14,0,0,0,0,0,0,0,13,0,0,0
7.33,14,14,0,0,0,0,0,0,0,13,0,0,0
8.63,14,14,0,0,0,0,0,0,0,13,0,0,0
6.81,14,14,0,0,0,0,0,0,0,13,0,0,0
7.07,14,14,0,0,0,0,0,0,0,13,0,0,0
7.63,14,14,0,0,0,0,0,0,0,13,0,0,0
7.69,14,14,0,0,0,0,0,0,0,13,0,0,0
7.06,14,14,0,0,0,0,0,0,0,13,0,0,0
6.55,14,14,0,0,0,0,0,0,0,13,0,0,0
