frameMs,draws,vsB0,vsB1,vsB2,vsB3,psB0,psB1,psB2,psB3,vbLocks,vbDiscards,ibLocks,ibDiscards
0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
3261.67,14,14,0,0,0,0,1,0,0,13,0,0,0
12.08,14,14,0,0,0,0,0,0,0,13,0,0,0
8.36,14,14,0,0,0,0,0,0,0,13,0,0,0
7.23,14,14,0,0,0,0,0,0,0,13,0,0,0
11.69,14,14,0,0,0,0,0,0,0,13,0,0,0
9.75,14,14,0,0,0,0,0,0,0,13,0,0,0
7.16,14,14,0,0,0,0,0,0,0,13,0,0,0
7.63,14,14,0,0,0,0,0,0,0,13,0,0,0
7.88,14,14,0,0,0,0,0,0,0,13,0,0,0
8.04,14,14,0,0,0,0,0,0,0,13,0,0,0
6.89,14,14,0,0,0,0,0,0,0,13,0,0,0
7.84,14,14,0,0,0,0,0,0,0,13,0,0,0
6.72,14,14,0,0,0,0,0,0,0,13,0,0,0
8.82,14,14,0,0,0,0,0,0,0,13,0,0,0
7.71,14,14,0,0,0,0,0,0,0,13,0,0,0
7.55,14,14,0,0,0,0,0,0,0,13,0,0,0
7.26,14,14,0,0,0,0,0,0,0,13,0,0,0
8.47,14,14,0,0,0,0,0,0,0,13,0,0,0
7.03,14,14,0,0,0,0,0,0,0,13,0,0,0
7.71,14,14,0,0,0,0,0,0,0,13,0,0,0
7.46,14,14,0,0,0,0,0,0,0,13,0,0,0
7.59,14,14,0,0,0,0,0,0,0,13,0,0,0
7.62,14,14,0,0,0,0,0,0,0,13,0,0,0
7.50,14,14,0,0,0,0,0,0,0,13,0,0,0
7.56,14,14,0,0,0,0,0,0,0,13,0,0,0
7.61,14,14,0,0,0,0,0,0,0,13,0,0,0
7.78,14,14,0,0,0,0,0,0,0,13,0,0,0
6.47,14,14,0,0,0,0,0,0,0,13,0,0,0
7.40,14,14,0,0,0,0,0,0,0,13,0,0,0
6.55,14,14,0,0,0,0,0,0,0,13,0,0,0
7.39,14,14,0,0,0,0,0,0,0,13,0,0,0
7.32,14,14,0,0,0,0,0,0,0,13,0,0,0
7.56,14,14,0,0,0,0,0,0,0,13,0,0,0
6.91,14,14,0,0,0,0,0,0,0,13,0,0,0
7.04,14,14,0,0,0,0,0,0,0,13,0,0,0
7.79,14,14,0,0,0,0,0,0,0,13,0,0,0
6.95,14,14,0,0,0,0,0,0,0,13,0,0,0
7.58,14,14,0,0,0,0,0,0,0,13,0,0,0
6.69,14,14,0,0,0,0,0,0,0,13,0,0,0
